VC,PIR,Run,Avg_IP_Throughput_flits_cycle_IP,Global_Avg_Delay_cycles,Total_Energy_J
8,0.006,2,0.0716033,135.785,0.000637512
8,0.006,3,0.0717109,133.587,0.000637446
8,0.006,4,0.0715964,146.755,0.000637162
8,0.006,5,0.0708472,119.206,0.000637261
8,0.006,6,0.0714666,120.573,0.000637164
8,0.006,7,0.0714657,128.422,0.000637008
8,0.006,8,0.0709991,129.029,0.000637222
8,0.006,9,0.0723893,134.981,0.000637228
8,0.006,10,0.072319,142.076,0.000637441
8,0.007,1,0.0791411,420.736,0.000638811
8,0.007,2,0.0787578,386.336,0.000638895
8,0.007,3,0.0789405,450.405,0.000638981
8,0.007,4,0.0778234,398.77,0.000638463
8,0.007,5,0.0766671,433.231,0.000638562
8,0.007,6,0.0774978,383.31,0.000638952
8,0.007,7,0.078628,382.454,0.000639032
8,0.007,8,0.0783989,349.317,0.00063868
8,0.007,9,0.0784761,440.731,0.000639054
8,0.007,10,0.0804418,385.307,0.000638935
8,0.008,1,0.0787626,785.262,0.000639186
8,0.008,2,0.0798607,776.133,0.000639409
8,0.008,3,0.0799023,780.845,0.000639255
8,0.008,4,0.0802973,811.89,0.00063923
8,0.008,5,0.0792079,872.096,0.000639269
8,0.008,6,0.0802439,805.566,0.000639396
8,0.008,7,0.0791736,769.828,0.000639259
8,0.008,8,0.0797075,780.975,0.000639415
8,0.008,9,0.0807713,751.133,0.000639323
8,0.008,10,0.0805677,818.299,0.00063946
8,0.009,1,0.0784119,1184.34,0.000639049
8,0.009,2,0.0807569,1096.49,0.000639732
8,0.009,3,0.0799722,1216.02,0.000639452
8,0.009,4,0.0789023,1250.03,0.000639216
8,0.009,5,0.0796098,1168.85,0.00063945
8,0.009,6,0.0794996,1164.87,0.000639641
8,0.009,7,0.0817565,1101.48,0.000639761
8,0.009,8,0.0822951,1096.17,0.000639856
8,0.009,9,0.0766254,1260,0.000639202
8,0.009,10,0.0809145,1247.55,0.000639661
8,0.01,1,0.0799405,1612.74,0.00063944
8,0.01,2,0.0818177,1457.35,0.000639846
8,0.01,3,0.0799679,1589.09,0.000639378
8,0.01,4,0.0788741,1585.55,0.000639334
8,0.01,5,0.0793312,1529.51,0.00063958
8,0.01,6,0.0799453,1548.91,0.000639781
8,0.01,7,0.0779006,1595.46,0.000639401
8,0.01,8,0.0803138,1494.97,0.000639935
8,0.01,9,0.0805677,1575.13,0.000639411
8,0.01,10,0.0780447,1556.46,0.000639412
12,0.001,1,0.0117622,27.5206,0.000927544
12,0.001,2,0.0116905,26.7619,0.000927591
12,0.001,3,0.0118303,27.3435,0.000927466
12,0.001,4,0.0122339,27.0064,0.000927522
12,0.001,5,0.0122001,27.2282,0.00092745
12,0.001,6,0.0122075,26.895,0.000927508
12,0.001,7,0.0117617,27.3555,0.000927426
12,0.001,8,0.0120273,26.9364,0.000927519
12,0.001,9,0.0121306,26.7728,0.000927333
12,0.001,10,0.012332,27.2532,0.000927508
12,0.002,1,0.0239097,30.9632,0.00093048
12,0.002,2,0.0238194,30.719,0.000930668
12,0.002,3,0.0239266,30.045,0.000930454
12,0.002,4,0.0236957,30.4989,0.000930555
12,0.002,5,0.023684,30.4853,0.000930483
12,0.002,6,0.0238047,30.7598,0.000930529
12,0.002,7,0.0238472,30.3269,0.00093066
12,0.002,8,0.0239935,30.2473,0.000930626
12,0.002,9,0.0237109,30.8705,0.000930605
12,0.002,10,0.0245929,30.9447,0.000930686
12,0.003,1,0.0358576,36.0448,0.000934019
12,0.003,2,0.0351623,35.628,0.00093368
12,0.003,3,0.0355438,36.383,0.000933641
12,0.003,4,0.0358247,36.5779,0.000933839
12,0.003,5,0.0361814,36.2282,0.000933757
12,0.003,6,0.0366944,37.5349,0.000933957
12,0.003,7,0.036036,36.3616,0.000934155
12,0.003,8,0.0359418,37.9817,0.000934061
12,0.003,9,0.035447,36.8317,0.000933955
12,0.003,10,0.0368051,36.9269,0.000933994
12,0.004,1,0.0475612,45.4734,0.000937062
12,0.004,2,0.0476632,46.8152,0.000937052
12,0.004,3,0.0481957,48.3139,0.000937246
12,0.004,4,0.0473455,45.1507,0.000936519
