VC,PIR,Run,Avg_IP_Throughput_flits_cycle_IP,Network_Throughput_flits_cycle,Global_Avg_Delay_cycles,Max_Delay_cycles
16,0.09,7,0.0791515,20.2628,5015.53,9671
16,0.09,8,0.0796181,20.3822,4937.46,9690
16,0.09,9,0.0791541,20.2634,4985.01,9735
16,0.09,10,0.0796576,20.3923,4977.19,9732
16,0.10,1,0.07998,20.4749,4962.59,9692
16,0.10,2,0.0814944,20.8626,4987.92,9749
16,0.10,3,0.0805334,20.6166,5007.23,9716
16,0.10,4,0.0784062,20.072,4989.32,9763
16,0.10,5,0.0801788,20.5258,4960.31,9784
16,0.10,6,0.0805794,20.6283,5022.6,9718
16,0.10,7,0.0813676,20.8301,5038.98,9736
16,0.10,8,0.0797943,20.4273,5030.17,9776
16,0.10,9,0.0812951,20.8116,5019.13,9729
16,0.10,10,0.0799566,20.4689,5042.45,9676
